time_s,charge_C,current_A,position_m,velocity_ms,force_N,inductance_H,power_W,energy_capacitor_J,energy_kinetic_J
0.0007787971394886259,179.18265735868763,966.4750691590189,-0.07031930462744836,40.52530263637694,0.0,0.0028257418259623724,346351.1423256688,32106.424698120856,1310.494655915996
0.0007791189564884146,179.18234634345447,966.3950588721399,-0.07030626254583397,40.52747971203456,0.0,0.0028260433390715875,346321.8682868617,32106.31324114567,1310.6354628915904
0.0007794407734882032,179.1820353539722,966.3150346180865,-0.07029321976356626,40.52965699506664,0.0,0.002826344947042525,346292.5893920257,32106.201793592143,1310.776290844791
0.000779762590487992,179.18172439024536,966.2349963977707,-0.07028017628057849,40.53183448543062,0.0,0.0028266466499098793,346263.3056415102,32106.09035546185,1310.9171397750072
0.0007800844074877806,179.18141345227846,966.1549442121063,-0.07026713209680396,40.53401218308395,0.0,0.0028269484477083575,346234.01703566493,32105.978926756357,1311.058009681647
0.0007804062244875694,179.18110254007593,966.0748780620085,-0.07025408721217595,40.536190087984025,0.0,0.0028272503404727116,346204.7235748402,32105.867507477204,1311.198900564116
0.000780728041487358,179.1807916536423,965.994797948394,-0.07024104162662777,40.53836820008821,0.0,0.0028275523282377778,346175.42525938695,32105.75609762597,1311.3398124218165
0.0007810498584871467,179.18048079298205,965.9147038721813,-0.07022799534009276,40.54054651935385,0.0,0.00282785441103841,346146.12208965665,32105.64469720421,1311.4807452541506
0.0007813716754869354,179.1801699580997,965.8345958342906,-0.07021494835250426,40.54272504573827,0.0,0.0028281565889094733,346116.81406600145,32105.533306213492,1311.6216990605167
0.0007816934924867241,179.1798591489997,965.7544738356431,-0.0702019006637956,40.54490377919874,0.0,0.002828458861885838,346087.5011887737,32105.42192465537,1311.76267384031
0.0007820153094865128,179.1795483656866,965.6743378771622,-0.07018885227390016,40.547082719692526,0.0,0.002828761230002385,346058.18345832673,32105.310552531424,1311.9036695929258
0.0007823371264863015,179.17923760816484,965.5941879597724,-0.07017580318275132,40.54926186717684,0.0,0.0028290636932940014,346028.8608750141,32105.19918984319,1312.044686317755
